filename,class,xmin,ymin,xmax,ymax
cam_image10.jpg,ten,197,108,275,329
cam_image10.jpg,queen,102,115,178,345
cam_image11.jpg,nine,88,89,192,369
cam_image12.jpg,king,142,139,220,363
cam_image13.jpg,jack,137,132,216,362
cam_image14.jpg,jack,116,155,201,392
cam_image15.jpg,ace,144,168,231,426
cam_image16.jpg,ace,119,144,206,425
cam_image17.jpg,ace,124,116,215,420
cam_image18.jpg,ace,153,80,238,340
cam_image19.jpg,jack,140,90,227,353
cam_image20.jpg,queen,114,111,213,393
cam_image21.jpg,queen,125,50,218,322
cam_image22.jpg,queen,116,87,205,345
cam_image23.jpg,queen,112,100,203,363
cam_image24.jpg,king,174,105,269,383
cam_image25.jpg,king,129,87,229,382
cam_image26.jpg,king,137,83,231,357
cam_image27.jpg,jack,129,135,218,410
cam_image28.jpg,ten,105,107,197,397
cam_image29.jpg,ten,133,83,228,350
cam_image3.jpg,king,128,92,186,271
cam_image3.jpg,king,195,82,259,258
cam_image3.jpg,king,197,271,265,478
cam_image3.jpg,king,126,275,189,481
cam_image30.jpg,ten,79,43,179,321
cam_image31.jpg,ten,112,84,236,407
cam_image32.jpg,nine,153,91,241,362
cam_image33.jpg,nine,110,104,198,360
cam_image34.jpg,nine,127,130,218,400
cam_image35.jpg,nine,80,12,151,214
cam_image35.jpg,ace,74,236,152,482
cam_image35.jpg,jack,162,237,245,490
cam_image35.jpg,king,168,5,239,213
cam_image36.jpg,nine,98,8,170,212
cam_image36.jpg,nine,96,256,168,492
cam_image36.jpg,nine,190,250,266,491
cam_image36.jpg,jack,194,4,263,208
cam_image37.jpg,ace,115,38,176,230
cam_image37.jpg,ace,189,257,257,483
cam_image37.jpg,king,192,29,257,229
cam_image37.jpg,king,109,261,174,483
cam_image38.jpg,king,220,14,291,231
cam_image38.jpg,jack,136,23,206,233
cam_image38.jpg,jack,216,252,292,497
cam_image38.jpg,ace,132,262,206,504
cam_image39.jpg,jack,136,148,205,375
cam_image39.jpg,king,52,145,130,384
cam_image39.jpg,nine,210,147,276,373
cam_image40.jpg,nine,59,114,127,336
cam_image40.jpg,jack,133,95,205,328
cam_image40.jpg,ace,216,102,289,336
cam_image41.jpg,ace,201,260,273,478
cam_image41.jpg,nine,124,252,189,462
cam_image41.jpg,king,175,17,248,244
cam_image42.jpg,king,125,212,187,406
cam_image42.jpg,ace,198,232,256,418
cam_image42.jpg,ace,270,224,330,409
cam_image43.jpg,jack,224,214,289,395
cam_image43.jpg,jack,294,218,348,387
cam_image44.jpg,nine,292,194,365,440
cam_image44.jpg,nine,15,160,84,408
cam_image44.jpg,ace,105,182,183,435
cam_image44.jpg,king,195,176,272,426
cam_image46.jpg,ace,148,53,213,268
cam_image46.jpg,ace,150,284,215,492
cam_image46.jpg,king,73,49,141,267
cam_image46.jpg,jack,77,286,146,493
cam_image47.jpg,jack,201,15,280,240
cam_image47.jpg,jack,113,279,194,502
cam_image47.jpg,nine,205,281,271,488
cam_image47.jpg,king,120,16,195,242
cam_image48.jpg,nine,249,53,312,261
cam_image48.jpg,ace,202,279,274,504
cam_image48.jpg,ace,87,39,155,251
cam_image48.jpg,jack,159,29,234,259
cam_image48.jpg,jack,120,282,190,496
cam_image50.jpg,nine,135,9,203,231
cam_image50.jpg,nine,213,260,289,501
cam_image50.jpg,king,133,257,203,493
cam_image50.jpg,ace,215,2,288,229
cam_image51.jpg,jack,208,143,274,346
cam_image51.jpg,jack,119,23,183,223
cam_image51.jpg,king,131,269,203,493
cam_image52.jpg,king,214,25,279,238
cam_image52.jpg,queen,136,12,206,223
cam_image52.jpg,queen,174,269,242,488
cam_image54.jpg,queen,136,46,205,257
cam_image54.jpg,queen,127,254,200,468
cam_image54.jpg,ten,200,181,265,388
cam_image9.jpg,nine,40,157,120,408
cam_image9.jpg,queen,142,143,230,411
IMG_2385.JPG,king,92,183,223,348
IMG_2386.JPG,ace,109,165,251,344
IMG_2388.JPG,king,69,220,228,406
IMG_2389.JPG,ace,118,205,246,384
IMG_2390.JPG,ace,106,191,243,382
IMG_2392.JPG,nine,129,167,242,330
IMG_2393.JPG,nine,108,143,278,377
IMG_2394.JPG,nine,134,233,228,352
IMG_2396.JPG,nine,126,172,254,350
IMG_2397.JPG,ten,123,191,266,384
IMG_2398.JPG,jack,114,184,264,375
IMG_2399.JPG,queen,111,170,252,364
IMG_2400.JPG,queen,92,141,244,348
IMG_2401.JPG,queen,105,208,249,398
IMG_2402.JPG,queen,130,205,252,371
IMG_2404.JPG,jack,121,228,215,360
IMG_2405.JPG,jack,82,276,175,401
IMG_2406.JPG,ten,189,207,311,367
IMG_2407.JPG,jack,128,196,243,357
IMG_2408.JPG,jack,137,224,275,411
IMG_2409.JPG,ten,74,295,169,429
IMG_2410.JPG,ten,104,195,237,372
IMG_2411.JPG,jack,167,203,320,415
IMG_2412.JPG,ten,40,122,205,343
IMG_2413.JPG,nine,81,177,269,435
IMG_2414.JPG,nine,103,128,322,436
IMG_2415.JPG,nine,45,203,197,408
IMG_2416.JPG,ten,108,164,291,406
IMG_2417.JPG,nine,47,149,286,434
IMG_2418.JPG,ace,124,126,242,284
IMG_2419.JPG,queen,118,143,315,415
IMG_2420.JPG,ace,69,172,229,398
IMG_2421.JPG,king,33,274,157,443
IMG_2422.JPG,queen,95,193,266,431
IMG_2423.JPG,ace,175,86,291,239
IMG_2424.JPG,ace,69,236,168,368
IMG_2425.JPG,king,206,117,319,272
IMG_2426.JPG,queen,118,282,234,453
IMG_2427.JPG,queen,75,245,193,408
IMG_2428.JPG,jack,136,205,245,349
IMG_2429.JPG,king,89,232,204,383
IMG_2430.JPG,king,87,284,196,433
IMG_2431.JPG,jack,59,217,196,365
IMG_2434.JPG,ace,121,349,282,469
IMG_2437.JPG,ten,101,241,266,361
IMG_2439.JPG,king,33,252,164,410
IMG_2441.JPG,queen,126,215,314,412
IMG_2442.JPG,king,115,32,288,201
IMG_2443.JPG,jack,208,267,333,438
IMG_2445.JPG,queen,163,224,320,380
IMG_2446.JPG,ace,112,199,287,365
IMG_2447.JPG,ace,142,232,254,320
IMG_2448.JPG,ace,157,124,285,260
IMG_2449.JPG,nine,128,327,256,431
IMG_2450.JPG,king,109,286,231,417
IMG_2451.JPG,ten,111,171,283,377
IMG_2452.JPG,nine,196,164,314,294
IMG_2453.JPG,queen,63,215,178,358
IMG_2454.JPG,nine,132,200,237,351
IMG_2455.JPG,jack,33,113,213,285
IMG_2456.JPG,ten,41,172,200,340
IMG_2457.JPG,jack,129,209,264,371
IMG_2458.JPG,nine,126,200,265,365
IMG_2459.JPG,nine,92,210,218,365
IMG_2460.JPG,queen,66,232,187,386
IMG_2462.JPG,ten,162,204,293,389
IMG_2464.JPG,king,27,85,174,261
IMG_2465.JPG,king,27,89,172,264
IMG_2466.JPG,ten,81,274,223,479
IMG_2467.JPG,ten,82,273,225,482
IMG_2468.JPG,jack,171,197,349,320
IMG_2469.JPG,jack,175,198,349,319
IMG_2471.JPG,nine,99,183,254,392
IMG_2472.JPG,nine,97,183,248,391
IMG_2473.JPG,ace,38,279,221,416
IMG_2474.JPG,ace,37,277,223,414
IMG_2475.JPG,ace,110,258,268,481
IMG_2477.JPG,queen,65,222,214,412
IMG_2478.JPG,ten,83,233,288,432
IMG_2480.JPG,king,55,90,332,362
IMG_2481.JPG,jack,29,181,182,323
IMG_2483.JPG,king,136,187,330,388
IMG_2484.JPG,queen,80,159,219,340
IMG_2486.JPG,king,17,257,157,405
IMG_2487.JPG,ten,43,320,167,407
IMG_2488.JPG,queen,51,324,137,440
IMG_2489.JPG,queen,180,204,324,397
IMG_2490.JPG,jack,201,241,310,371
IMG_2491.JPG,nine,21,250,131,395
IMG_2492.JPG,ace,56,303,206,464
IMG_2493.JPG,ten,41,152,189,271
IMG_2494.JPG,king,109,297,260,469
IMG_2495.JPG,ten,40,108,222,241
IMG_2496.JPG,nine,2,100,153,233
IMG_2497.JPG,queen,160,243,282,395
IMG_2498.JPG,jack,193,217,314,355
IMG_2499.JPG,queen,60,211,205,367
IMG_2500.JPG,ace,255,199,351,330
IMG_2501.JPG,jack,163,43,265,192
IMG_2502.JPG,ace,80,187,262,382
IMG_2503.JPG,ace,96,212,256,334
IMG_2504.JPG,nine,150,271,285,444
IMG_2505.JPG,ten,151,183,267,365
IMG_2506.JPG,nine,128,213,301,379
IMG_2507.JPG,king,25,194,134,325
IMG_2508.JPG,jack,186,281,334,421
IMG_2509.JPG,king,95,243,222,374
IMG_2511.JPG,nine,22,236,168,385
IMG_2512.JPG,ace,221,245,354,362
IMG_2513.JPG,jack,102,171,261,383
IMG_2514.JPG,queen,180,55,297,214
IMG_2515.JPG,jack,56,172,226,369
IMG_2516.JPG,nine,132,182,301,377
IMG_2517.JPG,ace,88,295,252,432
IMG_2518.JPG,king,66,146,229,336
IMG_2519.JPG,nine,39,215,233,452
IMG_2520.JPG,ten,144,194,292,435
IMG_2521.JPG,king,18,220,123,364
IMG_2522.JPG,ten,95,122,239,244
IMG_2523.JPG,ace,147,206,267,325
IMG_2524.JPG,ten,72,208,245,410
IMG_2525.JPG,king,191,225,319,384
IMG_2526.JPG,queen,55,201,217,319
IMG_2527.JPG,jack,45,67,238,216
IMG_2528.JPG,nine,37,90,244,275
IMG_2529.JPG,ten,176,309,265,473
IMG_2533.JPG,queen,231,298,361,453
IMG_2535.JPG,ten,107,218,204,418
IMG_2536.JPG,king,111,115,223,194
IMG_2537.JPG,ten,148,186,301,298
IMG_2538.JPG,nine,146,171,304,331
IMG_2542.JPG,ace,142,180,226,373
IMG_2543.JPG,king,121,71,300,248
IMG_2545.JPG,ten,193,170,297,310
IMG_2546.JPG,ace,127,214,240,352
IMG_2548.JPG,jack,76,184,162,421
IMG_2549.JPG,jack,7,268,232,396
IMG_2552.JPG,ace,92,119,271,384
IMG_2553.JPG,jack,128,245,243,430
IMG_2556.JPG,queen,74,195,201,386
IMG_2558.JPG,ten,39,125,157,212
IMG_2558.JPG,ten,216,121,332,209
IMG_2558.JPG,ace,231,323,344,404
IMG_2558.JPG,king,77,354,192,439
IMG_2559.JPG,king,224,77,331,205
IMG_2559.JPG,queen,207,288,345,412
IMG_2559.JPG,ten,44,172,182,297
IMG_2559.JPG,nine,61,342,159,464
IMG_2562.JPG,king,175,66,320,182
IMG_2562.JPG,king,42,44,169,195
IMG_2562.JPG,queen,24,196,157,297
IMG_2562.JPG,ten,208,190,350,338
IMG_2563.JPG,ace,55,109,174,257
IMG_2563.JPG,ace,252,313,378,471
IMG_2563.JPG,king,218,158,349,313
IMG_2563.JPG,nine,39,319,205,464
IMG_2565.JPG,nine,205,249,328,379
IMG_2565.JPG,ten,45,172,169,291
IMG_2565.JPG,queen,210,68,337,190
IMG_2565.JPG,king,82,316,190,441
IMG_2566.JPG,nine,254,191,323,282
IMG_2566.JPG,jack,173,278,250,374
IMG_2566.JPG,ten,53,288,153,369
IMG_2566.JPG,queen,105,148,186,250
IMG_2567.JPG,nine,145,132,265,258
IMG_2567.JPG,jack,237,258,362,380
IMG_2567.JPG,jack,11,191,123,317
IMG_2567.JPG,ace,119,315,201,426
IMG_2569.JPG,ace,55,139,153,247
IMG_2569.JPG,jack,181,83,281,192
IMG_2569.JPG,jack,157,207,236,305
IMG_2569.JPG,jack,94,253,164,343
IMG_2570.JPG,queen,196,245,344,373
IMG_2570.JPG,ten,111,58,227,226
IMG_2570.JPG,nine,27,254,176,446
IMG_2572.JPG,ten,145,68,303,225
IMG_2572.JPG,king,261,292,378,435
IMG_2572.JPG,king,35,209,160,352
IMG_2574.JPG,nine,152,126,318,257
IMG_2574.JPG,jack,24,227,228,423
IMG_2576.JPG,queen,169,184,339,378
IMG_2576.JPG,nine,43,202,171,394
IMG_2577.JPG,king,236,205,332,331
IMG_2577.JPG,jack,131,31,279,202
IMG_2577.JPG,ten,77,185,185,322
IMG_2577.JPG,ace,1,65,105,196
IMG_2578.JPG,queen,17,19,140,182
IMG_2578.JPG,king,141,59,236,195
IMG_2578.JPG,king,81,236,200,363
IMG_2578.JPG,queen,260,173,342,308
IMG_2579.JPG,ten,181,170,301,262
IMG_2579.JPG,ten,71,166,166,280
IMG_2579.JPG,jack,206,273,291,386
IMG_2579.JPG,jack,79,294,193,390
IMG_2581.JPG,jack,42,154,186,291
IMG_2581.JPG,nine,114,67,267,214
IMG_2581.JPG,ten,177,210,293,360
IMG_2582.JPG,ace,92,254,185,367
IMG_2582.JPG,ace,53,101,155,227
IMG_2582.JPG,queen,235,135,348,224
IMG_2584.JPG,queen,247,250,359,336
IMG_2584.JPG,ten,150,34,265,155
IMG_2584.JPG,ten,26,153,111,260
IMG_2584.JPG,jack,95,321,205,399
IMG_2586.JPG,queen,259,272,360,355
IMG_2586.JPG,queen,114,42,212,101
IMG_2586.JPG,ten,50,139,120,211
IMG_2586.JPG,king,43,302,139,374
IMG_2587.JPG,king,276,117,358,221
IMG_2587.JPG,ace,50,132,120,225
IMG_2587.JPG,ace,44,272,114,367
IMG_2587.JPG,nine,264,296,331,385
IMG_2588.JPG,nine,105,162,256,329
IMG_2588.JPG,ace,10,374,161,501
IMG_2588.JPG,king,6,58,149,202
IMG_2588.JPG,king,271,186,378,326
IMG_2589.JPG,king,138,207,270,324
IMG_2589.JPG,king,82,340,171,463
IMG_2589.JPG,jack,17,166,122,290
IMG_2589.JPG,nine,229,67,364,196
IMG_2590.JPG,nine,185,89,276,215
IMG_2590.JPG,nine,29,332,159,440
IMG_2590.JPG,jack,83,143,216,269
IMG_2590.JPG,queen,189,289,332,416
IMG_2593.JPG,queen,118,284,267,433
IMG_2593.JPG,ten,207,211,356,355
IMG_2593.JPG,ten,144,98,286,249
IMG_2593.JPG,ace,33,193,183,323
IMG_2596.JPG,nine,154,125,243,252
IMG_2596.JPG,queen,112,129,157,254
IMG_2597.JPG,queen,80,231,187,424
IMG_2597.JPG,jack,122,240,317,466
IMG_2599.JPG,jack,149,227,317,462
IMG_2599.JPG,king,73,221,150,453
IMG_2601.JPG,ten,143,190,305,415
IMG_2601.JPG,queen,81,174,149,406
IMG_2602.JPG,jack,118,205,302,449
IMG_2602.JPG,ten,61,206,149,436
IMG_2603.JPG,king,209,208,372,410
IMG_2603.JPG,ten,114,202,217,406
IMG_2603.JPG,ace,19,212,130,411
IMG_2605.JPG,king,118,180,311,415
IMG_2605.JPG,ten,74,190,172,394
IMG_2607.JPG,ten,63,340,185,504
IMG_2607.JPG,jack,30,203,177,348
IMG_2607.JPG,queen,245,140,369,283
IMG_2607.JPG,nine,194,18,330,134
IMG_2608.JPG,nine,77,2,233,127
IMG_2608.JPG,ace,175,300,338,494
IMG_2608.JPG,king,192,141,366,288
IMG_2608.JPG,queen,1,153,175,327
IMG_2609.JPG,king,1,120,175,321
IMG_2609.JPG,ace,108,300,251,490
IMG_2609.JPG,jack,208,98,378,282
IMG_2609.JPG,ten,176,1,304,114
IMG_2610.JPG,jack,56,322,188,497
